id,name,sex,age,team,noc,year,season,city,sport,event,medal
884,Anna Schmidt,M,23,CAN,GER,2000,Summer,London,Boxing,100m freestyle,Gold
885,Tom Lee,F,23,CAN,FRA,2020,Winter,Rio,Rowing,Double Sculls,
886,John Doe,M,39,GER,BRA,2012,Winter,Tokyo,Boxing,Sprint,Bronze
887,Maria Ivanova,F,35,BRA,GER,2016,Summer,Tokyo,Cycling,Double Sculls,Bronze
888,Maria Ivanova,M,31,GER,FRA,2008,Summer,London,Athletics,Sprint,Gold
889,Kate Novak,F,27,CAN,GER,2008,Winter,London,Boxing,100m freestyle,Silver
890,Maria Ivanova,M,31,CAN,FRA,2004,Summer,Tokyo,Swimming,Sprint,
891,Liu Wei,M,30,FRA,UKR,2016,Summer,Tokyo,Rowing,Lightweight Boxing,Bronze
892,Anna Schmidt,M,20,BRA,FRA,2008,Summer,Rio,Boxing,Double Sculls,Gold
893,Anna Schmidt,F,23,GER,CAN,2008,Summer,London,Cycling,100m freestyle,Bronze
894,Tom Lee,M,25,USA,BRA,2020,Summer,Rio,Swimming,Sprint,Gold
895,John Doe,F,29,USA,GER,2004,Summer,Tokyo,Boxing,Lightweight Boxing,
896,Kate Novak,F,30,BRA,FRA,2012,Summer,Athens,Cycling,Lightweight Boxing,
897,John Doe,M,28,GER,FRA,2008,Winter,Athens,Athletics,Judo -60kg,Gold
898,Maria Ivanova,M,29,GER,GER,2000,Summer,Tokyo,Cycling,Lightweight Boxing,
899,Tom Lee,M,18,UKR,BRA,2000,Summer,London,Athletics,Marathon,
900,John Doe,F,34,CAN,BRA,2012,Summer,Athens,Swimming,100m freestyle,Silver
901,Liu Wei,M,33,CHN,FRA,2016,Summer,London,Cycling,100m freestyle,Bronze
902,Anna Schmidt,F,28,FRA,USA,2004,Summer,Athens,Judo,100m freestyle,Silver
903,Maria Ivanova,F,30,BRA,UKR,2020,Summer,London,Rowing,Sprint,Bronze
904,Tom Lee,M,35,CHN,BRA,2000,Summer,Athens,Judo,Double Sculls,Silver
905,John Doe,M,28,CHN,BRA,2000,Summer,London,Judo,Sprint,Silver
906,Kate Novak,M,29,BRA,CHN,2012,Summer,Rio,Judo,Marathon,Silver
907,Liu Wei,M,23,GER,CAN,2016,Summer,London,Rowing,Double Sculls,Gold
908,Liu Wei,M,26,BRA,BRA,2016,Summer,Rio,Judo,Lightweight Boxing,
909,John Doe,M,33,CHN,UKR,2012,Summer,Rio,Athletics,Sprint,Silver
910,Anna Schmidt,F,21,CAN,CAN,2000,Summer,Tokyo,Cycling,Double Sculls,Silver
911,John Doe,F,20,FRA,CAN,2004,Summer,Rio,Swimming,Lightweight Boxing,
912,Maria Ivanova,F,33,FRA,GER,2000,Winter,Beijing,Judo,Double Sculls,Silver
913,John Doe,M,29,CAN,GER,2016,Winter,Rio,Judo,Lightweight Boxing,Bronze
914,Liu Wei,F,28,CAN,GER,2020,Summer,London,Swimming,Double Sculls,
915,Tom Lee,F,22,GER,GER,2000,Summer,Rio,Swimming,Sprint,
916,John Doe,F,35,USA,CHN,2004,Summer,London,Judo,Sprint,Gold
917,Anna Schmidt,F,36,BRA,BRA,2008,Winter,London,Athletics,Marathon,Silver
918,Tom Lee,F,23,FRA,GER,2000,Summer,Beijing,Swimming,Judo -60kg,
919,Kate Novak,M,39,CAN,FRA,2012,Summer,Rio,Cycling,100m freestyle,Silver
920,Carlos Gomez,M,35,BRA,USA,2008,Summer,Rio,Cycling,Sprint,Silver
921,John Doe,F,23,FRA,GER,2012,Summer,Athens,Athletics,Sprint,Gold
922,Anna Schmidt,F,21,CAN,BRA,2012,Winter,Athens,Rowing,Lightweight Boxing,Gold
923,Tom Lee,F,29,FRA,GER,2012,Summer,Tokyo,Boxing,Judo -60kg,Bronze
924,Anna Schmidt,M,36,GER,CHN,2000,Summer,London,Athletics,Sprint,
925,Kate Novak,M,19,USA,UKR,2016,Summer,Beijing,Judo,Double Sculls,
926,Liu Wei,F,34,USA,UKR,2008,Summer,Athens,Boxing,Judo -60kg,
927,Anna Schmidt,M,28,CAN,BRA,2004,Summer,Rio,Judo,100m freestyle,Gold
928,Tom Lee,M,28,FRA,FRA,2016,Summer,Tokyo,Cycling,Double Sculls,Gold
929,Anna Schmidt,F,38,GER,UKR,2000,Winter,Beijing,Swimming,Lightweight Boxing,
930,Anna Schmidt,M,33,UKR,UKR,2012,Summer,Rio,Judo,Marathon,Silver
931,Anna Schmidt,M,19,BRA,USA,2004,Summer,Rio,Cycling,Double Sculls,Silver
932,Maria Ivanova,F,19,BRA,BRA,2008,Winter,London,Athletics,100m freestyle,
933,Maria Ivanova,M,25,CHN,FRA,2016,Summer,London,Judo,Double Sculls,Bronze
934,Liu Wei,M,30,GER,BRA,2020,Summer,Athens,Cycling,Judo -60kg,Gold
935,John Doe,F,27,FRA,UKR,2016,Summer,Athens,Swimming,Judo -60kg,
936,Anna Schmidt,M,25,CHN,UKR,2004,Winter,Rio,Judo,100m freestyle,
937,Kate Novak,M,21,CAN,UKR,2000,Summer,Rio,Rowing,Judo -60kg,Gold
938,John Doe,F,32,FRA,CAN,2008,Winter,Athens,Cycling,Double Sculls,
939,Kate Novak,F,18,CHN,CHN,2004,Summer,Athens,Judo,Marathon,Silver
940,John Doe,F,28,USA,GER,2012,Summer,Rio,Swimming,Double Sculls,Bronze
941,Liu Wei,M,24,BRA,CHN,2008,Summer,Beijing,Judo,Marathon,
942,Anna Schmidt,F,34,FRA,BRA,2016,Summer,Rio,Judo,Judo -60kg,
943,Anna Schmidt,M,37,CHN,USA,2004,Summer,Beijing,Rowing,Double Sculls,Silver
944,Carlos Gomez,F,35,USA,GER,2016,Summer,Beijing,Cycling,Judo -60kg,Gold
945,Kate Novak,M,39,GER,USA,2016,Winter,Rio,Boxing,Marathon,Gold
946,John Doe,F,39,CHN,FRA,2016,Summer,Tokyo,Judo,Judo -60kg,Bronze
947,John Doe,F,29,CAN,CAN,2000,Summer,Athens,Boxing,Sprint,Gold
948,Maria Ivanova,F,26,CAN,BRA,2016,Summer,London,Athletics,Lightweight Boxing,Silver
949,Carlos Gomez,F,22,CAN,CAN,2012,Summer,Rio,Judo,Double Sculls,Gold
950,Tom Lee,M,27,FRA,BRA,2012,Summer,Beijing,Boxing,Sprint,Silver
951,Tom Lee,F,21,BRA,USA,2008,Summer,Rio,Athletics,Judo -60kg,Gold
952,Maria Ivanova,F,22,CHN,USA,2020,Summer,Athens,Rowing,Judo -60kg,
953,Maria Ivanova,M,27,GER,USA,2016,Summer,Beijing,Cycling,Lightweight Boxing,Gold
954,Maria Ivanova,F,28,CHN,BRA,2016,Summer,London,Judo,Judo -60kg,Silver
955,Kate Novak,M,38,BRA,UKR,2004,Winter,London,Cycling,Lightweight Boxing,
956,Kate Novak,F,27,USA,USA,2000,Winter,London,Athletics,Double Sculls,Bronze
957,Liu Wei,F,25,BRA,CAN,2020,Summer,Tokyo,Cycling,Marathon,Gold
958,Liu Wei,F,19,CAN,FRA,2008,Summer,Beijing,Cycling,Lightweight Boxing,Gold
959,Maria Ivanova,M,25,FRA,GER,2020,Summer,Beijing,Swimming,Lightweight Boxing,Bronze
960,Carlos Gomez,F,33,USA,BRA,2016,Summer,Tokyo,Athletics,Sprint,Silver
961,John Doe,F,39,FRA,CAN,2004,Summer,Beijing,Cycling,Judo -60kg,
962,Kate Novak,F,22,CAN,CHN,2000,Summer,Tokyo,Boxing,Double Sculls,Silver
963,Carlos Gomez,M,20,UKR,FRA,2008,Summer,Rio,Athletics,Marathon,Silver
964,Anna Schmidt,M,29,BRA,CHN,2020,Summer,Athens,Swimming,100m freestyle,Silver
965,Kate Novak,F,30,BRA,GER,2008,Summer,London,Judo,Lightweight Boxing,Bronze
966,Kate Novak,M,30,GER,UKR,2016,Summer,Tokyo,Rowing,100m freestyle,
967,Liu Wei,F,27,CHN,USA,2008,Summer,Tokyo,Cycling,Judo -60kg,Gold
968,John Doe,F,21,USA,BRA,2004,Winter,Tokyo,Boxing,Lightweight Boxing,Bronze
969,John Doe,F,26,FRA,CAN,2008,Summer,Rio,Swimming,100m freestyle,Gold
970,Tom Lee,F,39,USA,USA,2012,Summer,Tokyo,Athletics,Sprint,Silver
971,Tom Lee,F,19,GER,CAN,2004,Summer,Athens,Rowing,100m freestyle,
972,Tom Lee,F,36,GER,BRA,2020,Winter,Athens,Rowing,Sprint,Silver
973,Tom Lee,F,18,FRA,CHN,2000,Summer,London,Cycling,Marathon,
974,Anna Schmidt,M,24,CHN,USA,2000,Summer,Rio,Swimming,Judo -60kg,Bronze
975,Anna Schmidt,M,34,FRA,GER,2016,Winter,Athens,Swimming,Double Sculls,
976,Kate Novak,M,20,FRA,UKR,2016,Summer,Beijing,Boxing,100m freestyle,
977,Maria Ivanova,M,37,CAN,GER,2012,Summer,Beijing,Judo,Lightweight Boxing,Gold
978,Liu Wei,M,37,CHN,UKR,2020,Summer,Beijing,Judo,Judo -60kg,Gold
979,Liu Wei,M,38,BRA,FRA,2000,Summer,Tokyo,Judo,100m freestyle,Silver
980,Tom Lee,M,20,CAN,CAN,2000,Summer,Tokyo,Rowing,Lightweight Boxing,Gold
981,Kate Novak,F,20,UKR,USA,2000,Summer,Beijing,Rowing,Lightweight Boxing,Silver
982,Carlos Gomez,F,34,CHN,USA,2000,Summer,London,Athletics,Double Sculls,Silver
983,Maria Ivanova,F,24,GER,FRA,2008,Summer,London,Rowing,Double Sculls,
984,Kate Novak,F,31,CAN,UKR,2020,Summer,Tokyo,Rowing,Lightweight Boxing,Silver
985,Maria Ivanova,M,34,CHN,CHN,2004,Summer,Beijing,Swimming,Double Sculls,
986,Maria Ivanova,M,35,USA,BRA,2004,Summer,London,Athletics,Lightweight Boxing,
987,Maria Ivanova,F,30,FRA,GER,2012,Winter,Tokyo,Swimming,100m freestyle,
988,Kate Novak,F,37,UKR,FRA,2008,Summer,Beijing,Boxing,Marathon,Gold
989,Tom Lee,M,37,BRA,CAN,2000,Summer,Rio,Boxing,Double Sculls,Silver
990,Liu Wei,F,38,FRA,FRA,2000,Summer,Beijing,Athletics,Sprint,Silver
991,Liu Wei,F,35,USA,GER,2016,Summer,Beijing,Athletics,Sprint,Silver
992,Tom Lee,F,21,USA,GER,2016,Summer,Athens,Rowing,Sprint,Silver
993,Maria Ivanova,F,18,UKR,CAN,2012,Summer,Athens,Boxing,Marathon,
994,Carlos Gomez,M,35,BRA,CAN,2000,Summer,Rio,Cycling,Lightweight Boxing,Silver
995,John Doe,F,18,GER,USA,2012,Summer,Rio,Judo,Lightweight Boxing,Bronze
996,Kate Novak,F,30,CAN,GER,2008,Summer,Beijing,Rowing,Judo -60kg,
997,John Doe,M,37,BRA,BRA,2004,Summer,London,Judo,Sprint,Gold
998,Tom Lee,M,37,CHN,BRA,2000,Summer,Rio,Boxing,Sprint,Silver
999,Carlos Gomez,F,27,USA,UKR,2020,Summer,Beijing,Judo,Lightweight Boxing,
1000,Kate Novak,M,28,CHN,FRA,2008,Summer,Tokyo,Cycling,Sprint,Gold
1001,Tom Lee,F,26,GER,CAN,2000,Summer,Athens,Cycling,Lightweight Boxing,Bronze
1002,Maria Ivanova,F,26,CHN,USA,2020,Summer,London,Swimming,Lightweight Boxing,Gold
1003,Liu Wei,M,22,BRA,BRA,2016,Summer,Beijing,Athletics,Double Sculls,
1004,John Doe,F,18,CHN,CHN,2012,Summer,Tokyo,Judo,Lightweight Boxing,Silver
1005,Anna Schmidt,F,34,GER,USA,2016,Winter,Athens,Cycling,100m freestyle,Silver
1006,Anna Schmidt,F,39,GER,USA,2004,Summer,Tokyo,Athletics,100m freestyle,Bronze
1007,Carlos Gomez,F,19,GER,BRA,2016,Summer,Beijing,Athletics,100m freestyle,Gold
1008,Maria Ivanova,M,30,BRA,CHN,2000,Winter,Rio,Swimming,100m freestyle,Silver
1009,John Doe,M,26,GER,UKR,2020,Summer,Athens,Athletics,Marathon,Silver
1010,Maria Ivanova,F,21,USA,BRA,2016,Summer,Tokyo,Athletics,Judo -60kg,Silver
1011,John Doe,M,22,FRA,CHN,2000,Summer,Rio,Rowing,Judo -60kg,Bronze
1012,Carlos Gomez,F,28,GER,USA,2004,Summer,London,Boxing,Lightweight Boxing,Bronze
1013,Carlos Gomez,F,36,CHN,CHN,2020,Summer,Beijing,Swimming,Sprint,Bronze
1014,Anna Schmidt,F,38,CAN,USA,2016,Summer,Beijing,Swimming,100m freestyle,Bronze
1015,Maria Ivanova,F,20,CHN,FRA,2012,Summer,Athens,Judo,Judo -60kg,Silver
1016,Kate Novak,F,29,CAN,BRA,2012,Summer,Tokyo,Athletics,Judo -60kg,Gold
1017,Anna Schmidt,M,36,CHN,CAN,2020,Summer,London,Judo,100m freestyle,
1018,Maria Ivanova,F,36,BRA,BRA,2012,Summer,Athens,Rowing,Marathon,
1019,Anna Schmidt,M,30,CHN,FRA,2016,Summer,Athens,Cycling,Marathon,Silver
1020,Kate Novak,M,24,BRA,GER,2016,Summer,Tokyo,Athletics,Judo -60kg,Silver
1021,Liu Wei,F,32,BRA,GER,2020,Summer,London,Cycling,Marathon,Silver
1022,Liu Wei,F,24,GER,GER,2016,Summer,Tokyo,Boxing,Double Sculls,Bronze
1023,Liu Wei,F,25,USA,BRA,2000,Summer,Beijing,Rowing,100m freestyle,Bronze
1024,Liu Wei,F,22,CAN,UKR,2004,Summer,Rio,Athletics,Judo -60kg,Gold
1025,Tom Lee,F,38,GER,BRA,2012,Summer,Beijing,Judo,100m freestyle,Bronze
1026,John Doe,M,31,GER,FRA,2000,Summer,Beijing,Judo,Marathon,Gold
1027,Tom Lee,F,21,FRA,FRA,2020,Summer,Athens,Athletics,100m freestyle,Silver
1028,Tom Lee,F,27,BRA,CAN,2012,Summer,Beijing,Judo,Marathon,
1029,Tom Lee,M,37,BRA,CHN,2000,Summer,London,Athletics,Marathon,Silver
1030,Liu Wei,M,32,CAN,BRA,2016,Summer,Beijing,Swimming,100m freestyle,Gold
1031,Kate Novak,F,35,CHN,BRA,2020,Summer,London,Judo,Marathon,
1032,Carlos Gomez,M,37,CHN,USA,2020,Summer,Tokyo,Athletics,Double Sculls,
1033,Carlos Gomez,F,30,GER,FRA,2012,Winter,Athens,Athletics,Lightweight Boxing,
1034,John Doe,M,25,UKR,USA,2016,Summer,London,Judo,100m freestyle,Silver
1035,Liu Wei,M,26,UKR,USA,2012,Winter,Beijing,Swimming,Lightweight Boxing,Gold
1036,Liu Wei,F,33,CHN,BRA,2008,Winter,Athens,Judo,100m freestyle,
1037,Liu Wei,M,36,UKR,UKR,2000,Summer,Athens,Athletics,Marathon,Bronze
1038,Anna Schmidt,M,33,FRA,CHN,2008,Summer,London,Swimming,Marathon,
1039,Maria Ivanova,M,24,CHN,CHN,2000,Summer,London,Cycling,Judo -60kg,Silver
1040,Anna Schmidt,M,31,BRA,FRA,2004,Winter,Rio,Boxing,Double Sculls,Silver
1041,Maria Ivanova,M,31,GER,CAN,2020,Summer,Rio,Judo,Judo -60kg,
1042,Liu Wei,M,21,USA,FRA,2012,Winter,Athens,Rowing,Lightweight Boxing,Bronze
1043,Liu Wei,F,32,GER,UKR,2004,Summer,Rio,Athletics,Marathon,Gold
1044,Anna Schmidt,F,20,CHN,UKR,2004,Summer,Beijing,Swimming,Judo -60kg,Gold
1045,Anna Schmidt,M,22,FRA,CHN,2020,Summer,Tokyo,Swimming,Marathon,Silver
1046,Maria Ivanova,F,18,CHN,GER,2020,Summer,Athens,Cycling,100m freestyle,Gold
1047,Carlos Gomez,F,20,GER,USA,2000,Summer,Tokyo,Judo,Judo -60kg,Silver
1048,Maria Ivanova,F,32,FRA,USA,2008,Summer,Rio,Rowing,Lightweight Boxing,Silver
1049,Anna Schmidt,M,25,FRA,CHN,2016,Winter,London,Swimming,Judo -60kg,
1050,Kate Novak,F,21,FRA,FRA,2000,Summer,Athens,Cycling,Marathon,Silver
1051,Anna Schmidt,M,19,CAN,UKR,2016,Summer,Rio,Athletics,Sprint,
1052,Kate Novak,F,27,CHN,FRA,2004,Summer,Beijing,Cycling,Sprint,Gold
1053,John Doe,M,21,UKR,CAN,2016,Summer,Athens,Judo,Double Sculls,Bronze
1054,Anna Schmidt,M,20,UKR,GER,2008,Summer,Athens,Cycling,Marathon,Gold
1055,John Doe,F,19,CHN,CHN,2000,Summer,London,Swimming,100m freestyle,Bronze
1056,Carlos Gomez,F,34,CHN,USA,2020,Summer,Athens,Swimming,Judo -60kg,
1057,Maria Ivanova,M,38,CAN,BRA,2008,Summer,London,Boxing,Sprint,
1058,Kate Novak,F,37,UKR,FRA,2008,Summer,Rio,Cycling,100m freestyle,Bronze
1059,Maria Ivanova,F,30,CHN,UKR,2000,Summer,Beijing,Athletics,Marathon,Silver
1060,John Doe,F,22,CHN,BRA,2020,Summer,Beijing,Rowing,100m freestyle,
1061,Kate Novak,M,38,CAN,CAN,2008,Summer,Athens,Rowing,Marathon,
1062,Maria Ivanova,M,26,CAN,CHN,2020,Summer,Athens,Judo,Double Sculls,
1063,Anna Schmidt,F,39,GER,FRA,2012,Summer,Rio,Boxing,Judo -60kg,Silver
1064,Liu Wei,F,23,CAN,USA,2012,Summer,London,Cycling,100m freestyle,
1065,John Doe,F,22,USA,FRA,2012,Summer,Beijing,Athletics,Judo -60kg,Gold
1066,Maria Ivanova,M,27,UKR,GER,2016,Winter,London,Boxing,100m freestyle,Silver
1067,John Doe,M,25,GER,BRA,2008,Winter,Rio,Swimming,Marathon,Gold
1068,Tom Lee,F,24,USA,GER,2000,Summer,Beijing,Judo,Marathon,Silver
1069,John Doe,F,24,CHN,CAN,2000,Summer,Beijing,Cycling,100m freestyle,
1070,Kate Novak,F,23,CHN,USA,2016,Winter,Tokyo,Rowing,Double Sculls,
1071,Tom Lee,F,38,GER,BRA,2000,Summer,Rio,Athletics,Marathon,
1072,Kate Novak,F,37,CAN,CAN,2012,Summer,Rio,Swimming,Lightweight Boxing,Bronze
1073,Liu Wei,F,20,FRA,GER,2008,Summer,Tokyo,Boxing,Lightweight Boxing,Bronze
1074,Tom Lee,M,36,FRA,GER,2000,Summer,London,Judo,Judo -60kg,Bronze
1075,Anna Schmidt,F,39,CHN,BRA,2000,Winter,Tokyo,Boxing,Lightweight Boxing,Silver
1076,John Doe,M,32,FRA,USA,2004,Summer,Rio,Rowing,Lightweight Boxing,
1077,Maria Ivanova,F,21,BRA,GER,2004,Summer,London,Boxing,Double Sculls,Bronze
1078,Carlos Gomez,F,29,GER,CHN,2004,Summer,Beijing,Athletics,Double Sculls,Bronze
1079,John Doe,M,23,USA,CAN,2008,Summer,Tokyo,Swimming,Sprint,Bronze
1080,John Doe,M,36,GER,BRA,2012,Winter,London,Cycling,Sprint,
1081,Liu Wei,M,21,UKR,UKR,2020,Summer,London,Athletics,Double Sculls,Silver
1082,Anna Schmidt,M,32,CAN,UKR,2012,Summer,London,Rowing,Sprint,Silver
1083,Carlos Gomez,F,26,CAN,USA,2012,Summer,Tokyo,Judo,Double Sculls,
1084,Tom Lee,M,22,GER,CHN,2008,Winter,Beijing,Rowing,Sprint,Silver
1085,Tom Lee,F,30,CHN,GER,2008,Summer,London,Rowing,Marathon,
1086,Tom Lee,M,35,CHN,UKR,2004,Summer,Tokyo,Boxing,Double Sculls,Silver
1087,Kate Novak,F,22,BRA,USA,2000,Summer,Rio,Judo,Judo -60kg,Silver
1088,Kate Novak,F,33,BRA,CAN,2016,Summer,Tokyo,Athletics,Judo -60kg,
1089,Maria Ivanova,F,36,CAN,CHN,2016,Summer,Tokyo,Rowing,Double Sculls,Silver
1090,Carlos Gomez,F,31,BRA,CHN,2020,Summer,Tokyo,Athletics,Lightweight Boxing,Bronze
1091,Tom Lee,F,33,USA,FRA,2000,Summer,London,Cycling,Judo -60kg,Silver
1092,Kate Novak,F,32,BRA,USA,2020,Summer,Tokyo,Boxing,Lightweight Boxing,Silver
1093,Maria Ivanova,M,39,USA,USA,2004,Summer,Rio,Athletics,Judo -60kg,Bronze
1094,Anna Schmidt,F,21,BRA,FRA,2020,Summer,London,Judo,100m freestyle,Gold
1095,Maria Ivanova,M,24,CAN,GER,2000,Summer,Rio,Rowing,100m freestyle,
1096,Kate Novak,M,33,CAN,USA,2000,Summer,Athens,Cycling,Double Sculls,
1097,Liu Wei,F,39,USA,FRA,2016,Summer,Tokyo,Judo,Judo -60kg,Gold
1098,Liu Wei,M,38,GER,GER,2004,Summer,London,Boxing,Marathon,Bronze
1099,Tom Lee,F,39,CAN,GER,2008,Summer,London,Cycling,Lightweight Boxing,Bronze
1100,Liu Wei,M,38,GER,BRA,2020,Summer,Tokyo,Cycling,Judo -60kg,Gold
1101,Tom Lee,F,25,CHN,CHN,2016,Winter,Beijing,Cycling,Double Sculls,Silver
1102,Tom Lee,M,34,USA,CAN,2020,Summer,Beijing,Rowing,Lightweight Boxing,Silver
1103,Kate Novak,F,33,FRA,CHN,2020,Winter,Rio,Swimming,Sprint,Bronze
1104,Liu Wei,F,27,CAN,CHN,2008,Summer,Tokyo,Cycling,Double Sculls,Bronze
1105,Tom Lee,F,27,UKR,BRA,2004,Summer,Tokyo,Judo,Judo -60kg,Bronze
1106,Carlos Gomez,F,19,CHN,GER,2000,Summer,Athens,Judo,Marathon,
1107,Anna Schmidt,M,26,GER,GER,2012,Summer,Beijing,Boxing,Sprint,
1108,Maria Ivanova,F,34,CAN,USA,2020,Summer,Beijing,Athletics,Double Sculls,Bronze
1109,Maria Ivanova,M,28,USA,BRA,2012,Summer,Tokyo,Athletics,Judo -60kg,
1110,Kate Novak,M,27,FRA,USA,2004,Winter,Rio,Swimming,100m freestyle,Silver
1111,Liu Wei,M,39,BRA,BRA,2012,Summer,Tokyo,Rowing,Judo -60kg,
1112,Liu Wei,F,34,FRA,USA,2020,Winter,Rio,Rowing,100m freestyle,Bronze
1113,Tom Lee,M,21,UKR,UKR,2008,Winter,Beijing,Cycling,100m freestyle,
1114,John Doe,M,33,GER,FRA,2012,Summer,Athens,Swimming,Double Sculls,Bronze
1115,Tom Lee,M,37,CHN,CHN,2004,Summer,London,Boxing,Judo -60kg,Gold
1116,Anna Schmidt,F,32,FRA,CHN,2004,Summer,Beijing,Boxing,Judo -60kg,Bronze
1117,Carlos Gomez,F,38,USA,CAN,2008,Winter,Rio,Athletics,100m freestyle,Silver
1118,Maria Ivanova,M,22,UKR,FRA,2012,Summer,Tokyo,Boxing,Lightweight Boxing,Bronze
1119,Tom Lee,F,23,USA,GER,2012,Summer,Beijing,Cycling,Sprint,Silver
1120,John Doe,F,34,CAN,CAN,2000,Summer,Athens,Judo,Marathon,
1121,John Doe,M,18,BRA,UKR,2016,Winter,Rio,Boxing,Judo -60kg,Bronze
1122,Tom Lee,M,36,CHN,CAN,2004,Summer,Tokyo,Swimming,Sprint,Bronze
1123,Kate Novak,F,21,USA,CHN,2000,Summer,London,Cycling,Sprint,Gold
1124,Maria Ivanova,M,34,GER,GER,2004,Summer,Rio,Boxing,Lightweight Boxing,
1125,Kate Novak,F,26,CAN,UKR,2000,Winter,Tokyo,Rowing,Sprint,
1126,Carlos Gomez,F,19,CAN,CHN,2016,Summer,London,Boxing,Judo -60kg,
1127,John Doe,F,25,CHN,FRA,2000,Summer,Tokyo,Rowing,Double Sculls,Silver
1128,John Doe,F,32,CAN,USA,2004,Summer,London,Cycling,Double Sculls,Bronze
1129,Anna Schmidt,F,24,GER,BRA,2012,Winter,London,Boxing,Sprint,Gold
1130,Carlos Gomez,F,23,USA,UKR,2004,Summer,London,Rowing,Judo -60kg,Bronze
1131,John Doe,M,18,CHN,GER,2020,Winter,Tokyo,Judo,Judo -60kg,Gold
1132,Carlos Gomez,M,32,CAN,CAN,2008,Summer,London,Athletics,100m freestyle,Bronze
1133,Maria Ivanova,F,24,CAN,FRA,2008,Summer,Rio,Cycling,Lightweight Boxing,Bronze
1134,Liu Wei,F,34,GER,CAN,2020,Summer,Athens,Rowing,Marathon,Silver
1135,John Doe,F,19,BRA,UKR,2008,Winter,Athens,Swimming,100m freestyle,Silver
1136,Anna Schmidt,M,26,BRA,FRA,2008,Summer,London,Boxing,Marathon,
1137,Maria Ivanova,F,26,FRA,GER,2016,Winter,Athens,Rowing,Judo -60kg,Gold
1138,Tom Lee,M,30,CAN,UKR,2012,Summer,Athens,Rowing,Double Sculls,
1139,Carlos Gomez,F,23,USA,GER,2012,Summer,London,Rowing,100m freestyle,Gold
1140,Tom Lee,F,23,CHN,CAN,2004,Summer,London,Athletics,Sprint,Gold
1141,Kate Novak,M,37,CAN,CHN,2020,Summer,Rio,Swimming,Sprint,Gold
1142,Maria Ivanova,M,37,UKR,FRA,2000,Summer,Beijing,Swimming,Marathon,
1143,Tom Lee,F,38,CHN,USA,2004,Summer,Tokyo,Judo,Judo -60kg,Silver
1144,John Doe,F,20,FRA,CHN,2004,Summer,London,Athletics,Double Sculls,
1145,Carlos Gomez,F,34,BRA,USA,2004,Winter,London,Rowing,Marathon,Bronze
1146,Liu Wei,M,34,CAN,CAN,2004,Summer,Athens,Cycling,Double Sculls,Gold
1147,Maria Ivanova,M,29,GER,FRA,2012,Summer,Rio,Athletics,Lightweight Boxing,Bronze
1148,John Doe,M,33,UKR,CHN,2000,Summer,Athens,Athletics,Double Sculls,Gold
1149,Anna Schmidt,M,32,CAN,CHN,2004,Summer,London,Swimming,Sprint,
1150,Kate Novak,M,30,FRA,UKR,2012,Summer,London,Judo,100m freestyle,Gold
1151,Carlos Gomez,M,18,USA,BRA,2004,Summer,Athens,Judo,100m freestyle,Silver
1152,Maria Ivanova,F,34,UKR,CAN,2008,Summer,London,Athletics,100m freestyle,
1153,Maria Ivanova,F,20,FRA,GER,2004,Summer,Beijing,Athletics,Double Sculls,
1154,Liu Wei,M,32,CAN,CAN,2020,Summer,Tokyo,Boxing,Sprint,Silver
1155,Liu Wei,F,21,USA,GER,2020,Summer,Tokyo,Rowing,Double Sculls,
1156,Anna Schmidt,F,21,UKR,FRA,2004,Summer,Tokyo,Swimming,Judo -60kg,Gold
1157,Kate Novak,M,35,USA,GER,2016,Summer,Beijing,Rowing,Sprint,
1158,Anna Schmidt,F,34,USA,USA,2008,Summer,London,Cycling,Sprint,Bronze
1159,John Doe,M,36,UKR,GER,2000,Summer,Athens,Cycling,Double Sculls,Gold
1160,John Doe,M,28,UKR,GER,2004,Summer,Rio,Judo,Double Sculls,Silver
1161,Anna Schmidt,F,37,USA,UKR,2000,Summer,London,Swimming,100m freestyle,Gold
1162,Kate Novak,M,20,FRA,CHN,2008,Summer,Beijing,Rowing,Sprint,Silver
1163,Anna Schmidt,M,25,BRA,CAN,2004,Summer,Beijing,Judo,100m freestyle,Gold
1164,Kate Novak,M,31,UKR,CAN,2016,Summer,Tokyo,Cycling,Judo -60kg,Bronze
1165,Kate Novak,M,18,CAN,FRA,2012,Summer,London,Athletics,Lightweight Boxing,
1166,Tom Lee,M,31,CHN,FRA,2016,Summer,Tokyo,Swimming,100m freestyle,Gold
1167,Carlos Gomez,M,19,GER,GER,2016,Summer,Rio,Swimming,Double Sculls,Bronze
1168,Kate Novak,M,21,USA,BRA,2012,Winter,Tokyo,Rowing,Marathon,Bronze
1169,Liu Wei,M,36,USA,CAN,2012,Summer,Rio,Boxing,Lightweight Boxing,
1170,Kate Novak,F,23,GER,FRA,2020,Summer,Beijing,Rowing,Judo -60kg,Bronze
1171,Kate Novak,F,18,BRA,GER,2012,Winter,Tokyo,Athletics,Double Sculls,Bronze
1172,Kate Novak,F,34,GER,FRA,2004,Summer,Tokyo,Athletics,Lightweight Boxing,Silver
1173,Tom Lee,M,25,UKR,USA,2000,Summer,Athens,Judo,Double Sculls,Silver
1174,Tom Lee,M,36,GER,USA,2020,Summer,Beijing,Swimming,100m freestyle,Gold
